URL,Length-of-url,Special_chars,Ads_Class
//images.sohu.com/bill/s2015/jscript/lib/sjs/matrix/ad/form/delivery.j,70,"['.', '.', '.']",ad
//images.sohu.com/bill/s2015/jscript/lib/sjs/matrix/pv/pagePVmonitor.j,70,"['.', '.', '.']",non-ad
//statics.itc.cn/index/reyzar.statistics-0.02-min.j,51,"['.', '.', '.', '.', '.']",non-ad
"//misc.360buyimg.com/??jdf/lib/jquery-1.6.4.js,mtd/pc/common/js/o2_ua.js,mtd/pc/base/1.0.0/event.js,mtd/pc/index_2017/2.1.0/lib/base.dll.js,mtd/pc/index_2017/2.1.0/home/index.js?v=",180,"['.', '.', '?', '?', '.', '.', '.', ',', '.', ',', '.', '.', '.', ',', '.', '.', '.', '.', ',', '.', '.', '.', '?']",non-ad
//wl.jd.com/wl.j,16,"['.', '.', '.']",non-ad
https://r1.res.office365.com/owalanding/v2.11/landing.j,55,"[':', '.', '.', '.', '.', '.']",non-ad
https://az725175.vo.msecnd.net/scripts/jsll-4.j,47,"[':', '.', '.', '.', '.']",non-ad
/js/cmodules/mobile/grip.js?2617313545,38,"['.', '?']",non-ad
/static/bundles/metro/Polyfills.js/c378c5c03a10.j,49,"['.', '.']",non-ad
/static/bundles/metro/Vendor.js/b9b00b19edc2.j,46,"['.', '.']",non-ad
/static/bundles/metro/en_US.js/a90a87703843.j,45,"['.', '.']",non-ad
/static/bundles/metro/ConsumerCommons.js/3a5b9f8431a9.j,55,"['.', '.']",non-ad
/static/bundles/metro/Consumer.js/abdbabe4ca30.j,48,"['.', '.']",non-ad
/static/bundles/metro/LandingPage.js/e2203eb17f40.j,51,"['.', '.']",non-ad
//js.t.sinajs.cn/t6/home/js/pl/top/topInit.js?version=ae9a9ec008078a6,69,"['.', '.', '.', '.', '?']",non-ad
//js.t.sinajs.cn/t5/register/js/v6/pl/base.js?version=ae9a9ec008078a6,69,"['.', '.', '.', '.', '?']",non-ad
//yastatic.net/jquery/2.1.4/jquery.min.j,40,"['.', '.', '.', '.', '.']",non-ad
//yastatic.net/www/_/_/g/Sb0ESmEPEnJGNmMtjIg8zE5HI.j,52,"['.', '.']",non-ad
https://mc.yandex.ru/metrika/watch.j,36,"[':', '.', '.', '.']",non-ad
//d3.sina.com.cn/litong/zhitou/sinaads/release/sinaads.j,56,"['.', '.', '.', '.']",non-ad
//news.sina.com.cn/js/pctianyi/sima.j,37,"['.', '.', '.', '.']",non-ad
//n.sinaimg.cn/ent/js/lib/jquery-1.7.2.j,40,"['.', '.', '.', '.', '.']",non-ad
//d3.sina.com.cn/litong/zhitou/sinaads/demo/wanglt/sinaIndexAD/edu_ad_change.j,78,"['.', '.', '.', '.']",ad
//i.sso.sina.com.cn/js/ssologin.j,33,"['.', '.', '.', '.', '.']",non-ad
//news.sina.com.cn/sso/outlogin_layer.j,39,"['.', '.', '.', '.']",non-ad
//news.sina.com.cn/sso/user_panel_homepage.j,44,"['.', '.', '.', '.']",non-ad
//auto.sina.com.cn/sinaauto/2016/sinahome/chooseCars.j,54,"['.', '.', '.', '.']",non-ad
//d3.sina.com.cn/d1images/sinaads_entry/sinaads_entry_index.j,61,"['.', '.', '.', '.']",non-ad
//www.sina.com.cn/js/79/2013/0717/fix.j,39,"['.', '.', '.', '.']",non-ad
//www.sina.com.cn/edublk/college_json.j,39,"['.', '.', '.', '.']",non-ad
//n.sinaimg.cn/homepage/js/choose_edu1.j,40,"['.', '.', '.']",non-ad
//i1.sinaimg.cn/unipro/pub/suda_m_v630.j,40,"['.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/0729c697c74a3b98.j,43,"['.', '.', '.', '.']",non-ad
"//s.ssl.qhmsg.com/static/0e4b4f909dd26431/jquery,qw.core.j",58,"['.', '.', '.', ',', '.', '.']",non-ad
//s.ssl.qhimg.com/static/f5407c785655e6a1/monitor_analytic.j,60,"['.', '.', '.', '.']",non-ad
//s.ssl.qhmsg.com/!073cb963/Cookie.j,36,"['.', '.', '.', '!', '.']",non-ad
//s.ssl.qhmsg.com/!b9cea183/lightbox.j,38,"['.', '.', '.', '!', '.']",non-ad
//s.ssl.qhimg.com/static/e06d0b69be58c40c.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/85a9725bb0e32f2a.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/4d2a0452538a9fa4.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/542de339a50753c0.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/72a3b5b755877d15.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/ef8d5a324caca072.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/224605e7eefeb438.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/ba1c06c2ff5f4724.j,43,"['.', '.', '.', '.']",non-ad
//s.ssl.qhimg.com/static/42d436a78954a123.j,43,"['.', '.', '.', '.']",non-ad
//ajax.googleapis.com/ajax/libs/webfont/1.5.10/webfont.j,56,"['.', '.', '.', '.', '.']",non-ad
js/main.min.js?v=147606077,26,"['.', '.', '?']",non-ad
"https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-nmhp-js-mk-vd94e5075/js/js/bootstrap.js,common%7Cbootstrap.js/1/7258/bck/true/non",140,"[':', '.', '.', '%', '.', '.', '.', '.', '.', ',', '%', '.']",non-ad
https://codex.nflxext.com/%5E2.0.0/truthBundle/webui/0.0.1-nmhp-js-mk-vd94e5075/js/js/signup%7Chome%7Clite%7Cclient.js/1/7258/l/true/non,136,"[':', '.', '.', '%', '.', '.', '.', '.', '%', '%', '%', '.']",non-ad
https://static.licdn.com/scds/concat/common/js?h=7ndrn0f9fw0hum7uoqcjcnzne-95d8d303rtd0n9wj4dcjbnh2c-7vr4nuab43rzvy2pgq7yvvxjk-9qa4rfxekcw3lt2c06h7p0km,151,"[':', '.', '.', '?']",non-ad
https://static.licdn.com/scds/concat/common/js?h=e2lgukqldpqool72t8g7tysag-3nuvxgwg15rbghxm1gpzfbya2-29vgbxhpgmpj3o24uuxsdslc0-mv3v66b8q0h1hvgvd3yfjv5f-14k913qahq3mh0ac0lh0twk9,176,"[':', '.', '.', '?']",non-ad
https://static.licdn.com/sc/h/3qk7aqkysw7gz575y2ma1e5k,54,"[':', '.', '.']",non-ad
https://static.licdn.com/sc/h/19dd5wwuyhbk7uttxpuelttd,54,"[':', '.', '.']",non-ad
https://static.licdn.com/scds/concat/common/js?h=7dt162oar7uci911egb332w3g-44hhbxag3hinac547ym9vby09-5jratctnqzzuc1057yivxswgf-9zz2lhu3eq1epk7sq1t8cdb5s-eound1d1xhqm86h7g2p57b94l-edgsl2z4e4gk56cy2m5kbpp1q-acgipb6zomeaovod456pb7yjs-bctwwqj7p01tcj2smshz2bboe-88ec8b078z4fzj5q3z4qowg63-bftaa82sjwcbrohoe28skni7b-58m2n4boqb1vxfd6hgd34auwd-dksuef1kjeuyovuvqowr79mf0-cfabcg4u1cj0em4yissh5mfx,385,"[':', '.', '.', '?']",non-ad
https://static.licdn.com/scds/concat/common/js?h=3kp2aedn5pmamdr4dk4n8atur-3ti5bgrnb6idjtk0w4chaigxe-5hqr1i1uoezoj0z1s5gcxojf2-71o37tcjwl0ishto9izvyml3i-3bbdjshpw5ov0rwa8xe08tp97-cayct4cirf7n0f9z1xsg84g0q-dktkawxk7k8pixuh5g8z5ku32-213zbp2wzp99lviwl8g2cvq6i-1lknwtftishpdmobzm413yc7u-bcxa0v9ke411pjpmz4s239f9b-9n6qsrrqj2t3lkqeon9kevq6y-2s77lcl0ztx2c5fzyqvglptj1-1o1jaeb56loy3vv8018s13dno-8h514j3fiwnzuwkt66sbxsu8f-di2z9sra5co9la7ogqyesywi,437,"[':', '.', '.', '?']",non-ad
"https://static.licdn.com/sc/h/8foqob1mrx9w6afaelk7wiil7,27ftp26z6dvrdcg640xdatntb,c0d04mgupo5vyboc76prvjq4",106,"[':', '.', '.', ',', ',']",non-ad
https://static.licdn.com/scds/concat/common/js?h=82i5b2jv41vqmfkb5brdajvv-e7xlsv13j9f9fgq7i82f6mif,98,"[':', '.', '.', '?']",non-ad
https://static.licdn.com/scds/concat/common/js?h=69w33ou4umkyupw2uqgn7za7,73,"[':', '.', '.', '?']",non-ad
https://static.twitchcdn.net/config/settings.325a38320a0f94ba0ef68ee75152f77b.j,79,"[':', '.', '.', '.', '.']",non-ad
"https://polyfill.twitchsvc.net/v2/polyfill.min.js?unknown=polyfill&flags=gated&features=Array.prototype.find,Array.prototype.findIndex,Array.prototype.includes,default,fetch,Intl.~locale.en,Object.entries,Object.values,UR",221,"[':', '.', '.', '.', '.', '?', '&', '&', '.', '.', ',', '.', '.', ',', '.', '.', ',', ',', ',', '.', '.', ',', '.', ',', '.', ',']",non-ad
https://static.twitchcdn.net/assets/vendor-532e142018c351642676.j,65,"[':', '.', '.', '.']",non-ad
https://static.twitchcdn.net/assets/core-c1b68c0ff66ded30b7b2.j,63,"[':', '.', '.', '.']",non-ad
/assets/desktop/vendor.05e3bee877f86e544ef2.min.j,49,"['.', '.', '.']",non-ad
/ps/index.j,11,['.'],non-ad
/sw.j,5,['.'],non-ad
/assets/desktop/bundle.05e3bee877f86e544ef2.min.j,49,"['.', '.', '.']",non-ad
/v/j/postload-fp-8c83b8f369.j,29,['.'],non-ad
/cach,5,[],non-ad
/v/j/a_n-fp-f3c728eb4b.j,24,['.'],non-ad
//i.alicdn.com/ae-wholesale-ui/??loader.25fec587.j,50,"['.', '.', '?', '?', '.', '.']",non-ad
//i.alicdn.com/ae-header/20190226193145/buyer/front/ae-header.j,63,"['.', '.', '.']",non-ad
//www.microsoft.com/onerfstatics/marketingsites-neu-prod/_h/46c44584/coreui.statics/externalscripts/jquery/jquery-3.3.1.min.j,125,"['.', '.', '.', '.', '.', '.', '.']",non-ad
https://mem.gfx.ms/meversion?partner=MSHomePage&market=en-in&uhf=,65,"[':', '.', '.', '?', '&', '&']",non-ad
/js/tingyun-rum-feed.js?v=2018103,33,"['.', '?']",non-ad
//csdnimg.cn/public/common/libs/jquery/jquery-1.9.1.min.j,57,"['.', '.', '.', '.', '.']",non-ad
//csdnimg.cn/rabbit/exposure-click/main_flume.js?v1.15.3,56,"['.', '.', '?', '.', '.']",non-ad
/js/modernizr.js?155116040,26,"['.', '?']",non-ad
//csdnimg.cn/public/common/toolbar/js/content_toolbar.j,55,"['.', '.']",non-ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
https://ads.csdn.net/js/async_new.j,35,"[':', '.', '.', '.']",ad
//csdnimg.cn/public/common/libs/bootstrap/js/bootstrap.min.j,60,"['.', '.', '.']",non-ad
//csdnimg.cn/asdf/async-1.0.1.j,31,"['.', '.', '.', '.']",non-ad
//g.csdnimg.cn/track/1.0.1/track.j,34,"['.', '.', '.', '.', '.']",non-ad
//csdnimg.cn/asdf/tracking-1.0.1.j,34,"['.', '.', '.', '.']",non-ad
//g.csdnimg.cn/fixed-sidebar/1.1.1/fixed-sidebar.j,50,"['.', '.', '.', '.', '.']",non-ad
//csdnimg.cn/pubfooter/js/publib_footer-1.0.3.js?v20180702000,61,"['.', '.', '.', '.', '?']",non-ad
/js/csdn_feed.min.js?155116040,30,"['.', '.', '?']",non-ad
//sdk.appadhoc.com/ab.plus.j,28,"['.', '.', '.', '.']",non-ad
https://g.csdnimg.cn/side-toolbar/1.2/side-toolbar.j,52,"[':', '.', '.', '.', '.']",non-ad
//g.csdnimg.cn/asdf/1.0.1/async.j,33,"['.', '.', '.', '.', '.']",non-ad
//csdnimg.cn/public/common/indexSuperise/1.0.3/indexSuperise.js?2019011116531,77,"['.', '.', '.', '.', '?']",non-ad
https://t.alipayobjects.com/images/rmsweb/T19ctgXcRlXXXXXXXX.j,62,"[':', '.', '.', '.']",non-ad
//www.ebay.com/scl/js/ScandalLoader.j,37,"['.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/c/inception-rJ82oX3X.j,51,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/c/highlnfe-vT66o8OE.j,50,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/c/jquery-unA6K0OI.j,48,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/v/10341xh50yz21mhhydueu4m5wad.j,60,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/v/it02syay0qyozhdaszhv1jl4yyd.j,60,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/c/dfp/v4.2.j,41,"[':', '.', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/v/ppqsuturhazszccfygmtigqynq0.j,60,"[':', '.', '.', '.']",non-ad
https://ir.ebaystatic.com/rs/c/makeebayfasterscript-src-scripts-body-78a2168a.j,79,"[':', '.', '.', '.']",non-ad
https://pm.pstatic.net/js/c/nlog_v181107.j,42,"[':', '.', '.', '.']",non-ad
https://ssl.pstatic.net/tveta/libs/assets/js/common/min/probe.min.j,67,"[':', '.', '.', '.', '.']",non-ad
https://pm.pstatic.net/js/c/jindo_v180212.j,43,"[':', '.', '.', '.']",non-ad
https://m.media-amazon.com/images/G/01/imdb/js/collections/common-2839667071._CB479755740_.j,92,"[':', '.', '.', '.', '.']",non-ad
https://m.media-amazon.com/images/G/01/imdb/js/collections/pagelayout-507369405._CB453103903_.j,95,"[':', '.', '.', '.', '.']",non-ad
https://m.media-amazon.com/images/G/01/imdb/js/collections/recs-4056666173._CB454964228_.j,90,"[':', '.', '.', '.', '.']",non-ad
//s1.hdslb.com/bfs/seed/jinkela/short/report-new/log-reporter.j,63,"['.', '.', '.']",non-ad
//s1.hdslb.com/bfs/static/jinkela/long/js/jquery/jquery3.3.1.min.j,66,"['.', '.', '.', '.', '.', '.']",non-ad
//s1.hdslb.com/bfs/static/jinkela/home/1.home.a1717e355329e18a4a3162458dd2bb1c4727f6fe.j,88,"['.', '.', '.', '.', '.']",non-ad
//s1.hdslb.com/bfs/static/jinkela/home/home.a1717e355329e18a4a3162458dd2bb1c4727f6fe.j,86,"['.', '.', '.', '.']",non-ad
//s1.hdslb.com/bfs/cm/st/bundle.j,33,"['.', '.', '.']",non-ad
//static.hdslb.com/common/js/footer.j,37,"['.', '.', '.']",non-ad
https://github.githubassets.com/assets/compat-bootstrap-4857aac6.j,66,"[':', '.', '.', '.']",non-ad
https://github.githubassets.com/assets/frameworks-0e0307a1.j,60,"[':', '.', '.', '.']",non-ad
https://github.githubassets.com/assets/github-bootstrap-01bb88c1.j,66,"[':', '.', '.', '.']",non-ad
https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.j,64,"[':', '.', '.', '.', '.', '.', '.']",non-ad
https://cdn.sstatic.net/Js/stub.en.js?v=c388f4436c3,51,"[':', '.', '.', '.', '.', '?']",non-ad
